ID,Expected
0,14
1,3
2,35
3,37
4,14
5,3
6,3
7,35
8,35
9,35
10,34
11,14
12,3
13,3
14,34
15,34
16,3
17,14
18,34
19,35
20,3
21,3
22,29
23,31
24,12
25,34
26,34
27,34
28,14
29,12
30,17
31,3
32,35
33,29
34,3
35,34
36,34
37,34
38,33
39,34
40,16
41,12
42,16
43,14
44,34
45,34
46,35
47,34
48,3
49,3
50,14
51,35
52,35
53,3
54,34
55,35
56,3
57,35
58,3
59,35
60,35
61,14
62,20
63,29
64,35
65,3
66,6
67,35
68,23
69,35
70,3
71,34
72,35
73,34
74,1
75,3
76,3
77,35
78,3
79,35
80,14
81,3
82,35
83,35
84,12
85,3
86,35
87,30
88,3
89,3
90,3
91,3
92,3
93,12
94,34
95,34
96,14
97,34
98,16
99,3
100,34
101,12
102,14
103,35
104,31
105,34
106,3
107,14
108,3
109,15
110,42
111,35
112,14
113,3
114,34
115,52
116,35
117,3
118,3
119,16
120,35
121,3
122,14
123,6
124,35
125,29
126,35
127,16
128,34
129,35
130,3
131,3
132,35
133,35
134,7
135,50
136,34
137,14
138,34
139,34
140,14
141,34
142,3
143,34
144,3
145,12
146,12
147,35
148,37
149,12
150,29
151,35
152,12
153,40
154,54
155,34
156,3
157,14
158,14
159,3
160,60
161,3
162,3
163,38
164,24
165,35
166,3
167,31
168,35
169,34
170,34
171,35
172,37
173,52
174,35
175,3
176,29
177,12
178,29
179,23
180,14
181,29
182,3
183,3
184,34
185,29
186,18
187,3
188,35
189,34
190,3
191,49
192,35
193,35
194,27
195,34
196,18
197,29
198,35
199,30
200,3
201,38
202,3
203,37
204,34
205,3
206,3
207,42
208,3
209,30
210,35
211,3
212,16
213,3
214,29
215,34
216,12
217,14
218,3
219,12
220,3
221,1
222,35
223,35
224,35
225,16
226,3
227,34
228,37
229,12
230,16
231,3
232,6
233,34
234,3
235,29
236,3
237,52
238,3
239,14
240,3
241,29
242,24
243,12
244,58
245,14
246,3
247,3
248,35
249,3
250,3
251,35
252,35
253,35
254,3
255,3
256,29
257,34
258,3
259,35
260,3
261,29
262,34
263,37
264,3
265,19
266,3
267,12
268,35
269,29
270,35
271,35
272,34
273,14
274,35
275,34
276,3
277,3
278,29
279,35
280,29
281,29
282,34
283,35
284,52
285,12
286,14
287,30
288,35
289,3
290,3
291,3
292,34
293,35
294,14
295,35
296,35
297,34
298,34
299,34
300,16
301,34
302,3
303,29
304,3
305,9
306,35
307,35
308,14
309,34
310,34
311,35
312,34
313,34
314,35
315,12
316,3
317,14
318,14
319,29
320,35
321,34
322,1
323,3
324,35
325,40
326,1
327,35
328,34
329,29
330,3
331,35
332,34
333,18
334,35
335,37
336,3
337,35
338,35
339,35
340,34
341,35
342,35
343,12
344,35
345,35
346,14
347,34
348,35
349,34
350,29
351,3
352,34
353,12
354,3
355,35
356,3
357,35
358,62
359,14
360,3
361,35
362,34
363,50
364,3
365,35
366,29
367,29
368,35
369,34
370,3
371,1
372,38
373,35
374,35
375,34
376,14
377,3
378,34
379,34
380,12
381,15
382,35
383,3
384,33
385,3
386,35
387,3
388,29
389,12
390,3
391,34
392,30
393,1
394,42
395,14
396,3
397,18
398,37
399,3
400,29
401,42
402,29
403,3
404,29
405,37
406,12
407,34
408,35
409,31
410,29
411,3
412,14
413,54
414,14
415,34
416,34
417,34
418,34
419,34
420,35
421,35
422,3
423,34
424,35
425,34
426,35
427,3
428,34
429,3
430,34
431,34
432,34
433,3
434,35
435,31
436,1
437,35
438,35
439,35
440,31
441,14
442,14
443,29
444,35
445,35
446,16
447,35
448,35
449,34
450,34
451,35
452,58
453,34
454,3
455,3
456,14
457,34
458,29
459,35
460,37
461,34
462,3
463,3
464,34
465,14
466,34
467,14
468,16
469,34
470,35
471,3
472,3
473,14
474,35
475,3
476,30
477,3
478,34
479,3
480,12
481,14
482,3
483,35
484,34
485,35
486,35
487,3
488,35
489,35
490,14
491,3
492,23
493,3
494,34
495,34
496,35
497,34
498,35
499,37
500,35
501,3
502,23
503,34
504,3
505,34
506,35
507,3
508,34
509,3
510,29
511,1
512,3
513,35
514,29
515,29
516,34
517,29
518,34
519,3
520,35
521,34
522,34
523,31
524,3
525,3
526,23
527,14
528,3
529,12
530,34
531,35
532,34
533,3
534,34
535,35
536,3
537,14
538,52
539,14
540,34
541,12
542,3
543,34
544,34
545,35
546,3
547,34
548,42
549,3
550,1
551,34
552,3
553,35
554,35
555,3
556,29
557,34
558,34
559,14
560,14
561,18
562,12
563,3
564,3
565,3
566,3
567,3
568,35
569,3
570,30
571,3
572,3
573,14
574,34
575,35
576,29
577,52
578,34
579,14
580,19
581,14
582,3
583,14
584,29
585,35
586,3
587,3
588,3
589,14
590,3
591,3
592,34
593,35
594,35
595,3
596,3
597,35
598,35
599,34
600,3
601,35
602,29
603,29
604,3
605,3
606,35
607,34
608,41
609,3
610,34
611,14
612,35
613,14
614,34
615,14
616,35
617,31
618,29
619,34
620,35
621,23
622,35
623,14
624,34
625,14
626,35
627,30
628,3
629,34
630,29
631,40
632,14
633,3
634,3
635,14
636,34
637,1
638,34
639,3
640,3
641,12
642,14
643,16
644,3
645,3
646,35
647,23
648,3
649,3
650,14
651,35
652,23
653,35
654,34
655,34
656,18
657,3
658,3
659,5
660,14
661,34
662,34
663,35
664,3
665,35
666,35
667,34
668,3
669,29
670,3
671,30
672,35
673,46
674,3
675,54
676,35
677,34
678,15
679,3
680,37
681,23
682,34
683,34
684,12
685,12
686,35
687,3
688,29
689,35
690,35
691,34
692,3
693,60
694,23
695,14
696,29
697,3
698,35
699,35
700,35
701,3
702,15
703,31
704,34
705,18
706,34
707,34
708,35
709,14
710,34
711,14
712,3
713,29
714,3
715,34
716,14
717,52
718,29
719,3
720,3
721,29
722,34
723,34
724,34
725,3
726,35
727,31
728,14
729,3
730,34
731,29
732,29
733,34
734,35
735,14
736,14
737,3
738,35
739,35
740,3
741,3
742,35
743,34
744,3
745,34
746,29
747,3
748,24
749,34
750,35
751,35
752,34
753,35
754,31
755,3
756,35
757,3
758,12
759,3
760,16
761,3
762,35
763,35
764,3
765,35
766,18
767,35
768,34
769,3
770,14
771,35
772,35
773,3
774,34
775,35
776,3
777,42
778,29
779,34
780,34
781,34
782,18
783,14
784,35
785,29
786,18
787,35
788,35
789,12
790,14
791,29
792,35
793,37
794,3
795,3
796,30
797,18
798,3
799,3
800,15
801,34
802,34
803,3
804,35
805,21
806,24
807,37
808,3
809,34
810,18
811,34
812,14
813,34
814,35
815,34
816,29
817,1
818,3
819,29
820,14
821,34
822,3
823,23
824,35
825,34
826,16
827,3
828,12
829,12
830,35
831,12
832,35
833,3
834,35
835,34
836,29
837,3
838,35
839,35
840,35
841,3
842,3
843,35
844,35
845,35
846,35
847,34
848,3
849,12
850,3
851,14
852,34
853,14
854,3
855,3
856,30
857,14
858,23
859,35
860,3
861,35
862,3
863,14
864,35
865,34
866,52
867,3
868,35
869,29
870,35
871,34
872,29
873,29
874,3
875,3
876,34
877,16
878,34
879,34
880,29
881,34
882,14
883,34
884,34
885,34
886,34
887,23
888,34
889,34
890,34
891,35
892,29
893,3
894,34
895,35
896,3
897,52
898,52
899,31
900,3
901,3
902,52
903,34
904,3
905,34
906,35
907,31
908,3
909,35
910,35
911,29
912,3
913,29
914,54
915,3
916,29
917,34
918,35
919,29
920,3
921,3
922,8
923,3
924,14
925,3
926,35
927,34
928,34
929,34
930,34
931,3
932,3
933,34
934,16
935,35
936,34
937,3
938,12
939,35
940,34
941,14
942,29
943,52
944,3
945,35
946,30
947,3
948,35
949,34
950,34
951,14
952,34
953,29
954,35
955,3
956,14
957,14
958,14
959,3
960,35
961,3
962,14
963,60
964,35
965,3
966,3
967,27
968,3
969,3
970,35
971,34
972,3
973,35
974,34
975,29
976,35
977,3
978,35
979,3
980,3
981,29
982,29
983,34
984,35
985,3
986,3
987,35
988,34
989,3
990,3
991,34
992,30
993,3
994,29
995,3
996,3
997,3
998,35
999,37
1000,14
1001,14
1002,35
1003,35
1004,29
1005,35
1006,29
1007,14
1008,18
1009,3
1010,34
1011,14
1012,34
1013,34
1014,29
1015,35
1016,35
1017,3
1018,35
1019,35
1020,1
1021,3
1022,34
1023,3
1024,12
1025,35
1026,34
1027,12
1028,34
1029,3
1030,34
1031,35
1032,12
1033,30
1034,35
1035,3
1036,35
1037,3
1038,29
1039,35
1040,35
1041,3
1042,27
1043,3
1044,35
1045,34
1046,14
1047,34
1048,34
1049,35
1050,35
1051,29
1052,35
1053,3
1054,34
1055,18
1056,35
1057,3
1058,34
1059,34
1060,29
1061,35
1062,35
1063,34
1064,3
1065,35
1066,34
1067,20
1068,34
1069,35
1070,34
1071,34
1072,34
1073,35
1074,34
1075,3
1076,3
1077,34
1078,3
1079,52
1080,14
1081,34
1082,3
1083,35
1084,35
1085,3
1086,44
1087,35
1088,3
1089,29
1090,40
1091,34
1092,35
1093,35
1094,35
1095,35
1096,3
1097,3
1098,35
1099,18
1100,16
1101,14
1102,35
1103,34
1104,29
1105,12
1106,35
1107,3
1108,34
1109,35
1110,16
1111,35
1112,3
1113,35
1114,34
1115,34
1116,3
1117,29
1118,3
1119,34
1120,34
1121,3
1122,29
1123,34
1124,3
1125,34
1126,12
1127,3
1128,18
1129,29
1130,34
1131,34
1132,3
1133,42
1134,3
1135,34
1136,35
1137,14
1138,14
1139,1
1140,12
1141,29
1142,35
1143,14
1144,12
1145,34
1146,36
1147,35
1148,14
1149,34
1150,14
1151,35
1152,14
1153,3
1154,35
1155,3
1156,34
1157,34
1158,3
1159,3
1160,35
1161,34
1162,3
1163,35
1164,34
1165,35
1166,35
1167,3
1168,3
1169,34
1170,35
1171,34
1172,34
1173,35
1174,8
1175,35
1176,35
1177,34
1178,29
1179,34
1180,3
1181,34
1182,1
1183,35
1184,3
1185,34
1186,1
1187,35
1188,35
1189,35
1190,3
1191,18
1192,35
1193,3
1194,58
1195,35
1196,3
1197,35
1198,35
1199,35
1200,35
1201,34
1202,35
1203,3
1204,54
1205,42
1206,42
1207,15
1208,34
1209,14
1210,35
1211,3
1212,34
1213,35
1214,34
1215,3
1216,14
1217,34
1218,34
1219,35
1220,14
1221,34
1222,35
1223,12
1224,34
1225,38
1226,34
1227,16
1228,3
1229,3
1230,35
1231,34
1232,3
1233,35
1234,34
1235,34
1236,34
1237,42
1238,35
1239,34
1240,3
1241,15
1242,37
1243,34
1244,35
1245,34
1246,3
1247,35
1248,3
1249,34
1250,35
1251,35
1252,14
1253,34
1254,18
1255,34
1256,3
1257,34
1258,52
1259,34
1260,12
1261,35
1262,9
1263,35
1264,3
1265,35
1266,35
1267,3
1268,34
1269,37
